,CPI_KR_YoY,AUD_USD,CN_Interbank3M,US_UnempRate,JP_REER,JP_Interbank3M,JP_CoreCPI,KC_FSI,KR_MfgProd,Pork,US_NFP,US_TradeTransEmp,THB_USD,PPI_CopperNickel,CN_PPI,US_Mortgage15Y,UK_10Y_Bond,US_ExportPI,US_DepInstCredit
2009-06-30,1.992672,0.8038733333333333,1.2,9.5,123.55,0.56,-0.7437904042235544,1.87117512771815,-2.6538534283660264,57.05090909090909,-458.0,-54.0,34.104,-36.74941650753235,-7.8,4.877666666666666,3.7221,-6.5820777160983335,0.0
2009-07-31,1.618186,0.8030483870967742,1.68,9.5,125.77,0.55,-0.9043894252946716,1.84001585457114,0.6059477124748192,57.84619047619048,-346.0,-103.0,34.02903225806452,-37.64415156507413,-8.2,4.692258064516129,3.8238,-8.281249999999996,0.0
2009-08-31,2.16228,0.8356032258064516,1.7,9.6,124.36,0.54,-0.9794484524317416,1.34362122127961,1.3224974046573743,49.56238095238095,-190.0,-36.0,34.00451612903226,-18.1055420622654,-7.9,4.623548387096774,3.7142,-6.195393169181895,0.0
2009-09-30,2.1603179999999997,0.8615433333333333,1.78,9.8,127.71,0.5400000000000001,-1.1432733740632584,1.03368223650388,7.587087058407227,50.56238095238095,-226.0,-57.0,33.79833333333333,-20.3306939916162,-7.0,4.491,3.6566,-5.604483586869491,0.0
2009-10-31,1.981888,0.9054387096774194,1.81,10.0,127.1,0.53,-1.3402348618258952,0.879223817984485,4.5975001531952,50.89772727272727,-185.0,-83.0,33.38870967741936,5.64663023679417,-5.8,4.384193548387096,3.5699,-3.5977105478331883,0.0
2009-11-30,2.438847,0.9192466666666667,2.08,9.9,127.83,0.51,-1.0477266477175171,0.702580168262702,19.448085663947825,54.128,-4.0,-36.0,33.26033333333333,56.4446366782007,-2.1,4.356,3.7592,0.4222972972973027,0.0
2009-12-31,2.800607,0.9006516129032258,1.86,9.9,126.84,0.46,-1.1643201728880337,0.565186882630628,36.58778440854293,61.84818181818182,-249.0,-96.0,33.20451612903226,84.43789887088857,1.7,4.364193548387097,3.8871,3.367875647668406,0.0
2010-01-31,3.518496,0.9107645161290322,1.85,9.8,124.5,0.45,-0.8670581567133295,0.610015586649952,36.601596078836394,67.3395,-6.0,49.0,33.0558064516129,91.74219536757302,4.3,4.45483870967742,4.0025,3.516295025728988,0.0
2010-02-28,2.9839239999999996,0.8852392857142857,1.94,9.8,126.82000000000001,0.44,-0.7624982260194146,0.32720163562937304,25.49951676329041,66.1842105263158,-96.0,-12.0,33.127500000000005,75.11893434823979,5.4,4.366785714285714,4.0624,3.439380911435941,17.857142857142858
2010-03-31,2.458154,0.9118483870967742,1.91,9.9,125.81,0.43,-0.8622693055366559,-0.023145503952607,23.287603186913252,70.92565217391304,160.0,46.0,32.483870967741936,99.48259642521168,5.9,4.336451612903226,4.0915,4.935064935064948,12.903225806451612
2010-04-30,2.598316,0.9258233333333333,1.73,9.9,121.11,0.4,-1.322087782395187,-0.178647022853759,20.512242592416396,77.57318181818182,254.0,2.0,32.26033333333333,61.03140752229548,6.81,4.422666666666667,4.1007,5.512489233419471,0.0
2010-05-31,2.702058,0.8725806451612903,2.02,9.6,125.49,0.39,-1.276646996265829,0.60581277009545,20.48207135194735,85.284,522.0,14.0,32.372580645161285,41.87904146063144,7.13,4.2941935483870965,3.7772,5.574614065180095,0.0
2010-06-30,2.688929,0.8538933333333334,3.69,9.4,128.28,0.38,-1.321161363216894,0.521318698454155,16.2901158046461,78.71545454545455,-132.0,22.0,32.44766666666666,17.645085541764495,6.4,4.171666666666667,3.6006999999999993,3.735144312393901,0.0
2010-07-31,2.530742,0.8763096774193548,2.48,9.4,130.54,0.37,-1.4527952647287454,0.474151452226414,14.40405331704122,78.79631578947368,-95.0,21.0,32.28774193548387,25.561426684280057,4.8,4.0438709677419356,3.5087,3.918228279386704,0.0
2010-08-31,2.681788,0.9002870967741935,2.44,9.5,132.59,0.36,-1.595566423474715,0.223507159259124,12.699476208440696,83.15142857142857,0.0,11.0,31.71741935483871,14.828794823402536,4.3,3.916451612903226,3.233,4.149026248941579,0.0
2010-09-30,3.407571,0.9375766666666666,2.56,9.5,132.65,0.36,-1.6357394017152305,0.154924446297189,8.234001608120401,81.9347619047619,-74.0,27.0,30.802666666666667,30.400467699503064,4.3,3.82,3.1271,4.9194232400339155,0.0
2010-10-31,3.682555,0.981632258064516,2.75,9.4,133.64,0.34,-1.0765028166744517,0.191342113890741,11.839386604405,71.15095238095238,279.0,62.0,29.92967741935484,43.936781609195386,5.0,3.674516129032258,3.0685,5.767599660729439,0.0
2010-11-30,2.988718,0.9889466666666666,3.38,9.8,131.82,0.34,-1.3253587801470124,0.023264963937928,10.685567030304298,63.47952380952381,129.0,-1.0,29.873,33.09372408072988,6.1,3.6823333333333332,3.311,6.476030277544154,0.0
2010-12-31,3.033703,0.9934193548387097,4.94,9.3,130.63,0.34,-1.078434202529055,-0.127805355006455,11.186341414349531,68.81428571428572,81.0,32.0,30.08967741935484,28.77295714665957,5.9,4.039677419354839,3.6097999999999995,6.516290726817031,0.0
2011-01-31,3.441084,0.9957290322580645,4.98,9.1,129.84,0.34,-1.2042418638317565,-0.247456563215824,12.50076316159574,75.04238095238095,7.0,18.0,30.54,32.03781512605042,6.6,4.101935483870967,3.7273,6.959403479701742,0.0
2011-02-28,3.939291,1.0093821428571428,4.839999999999999,9.0,128.13,0.34,-1.1889142340838266,-0.433179966158973,8.280945585182842,83.21850000000002,220.0,71.0,30.687142857142856,41.61912523770712,7.2,4.210357142857143,3.8799,8.728179551122217,0.0
2011-03-31,4.133215,1.0113290322580644,4.02,9.0,128.53,0.33615,-1.28303266962283,-0.269838138361159,8.78188756167868,84.63818181818182,226.0,48.0,30.330967741935485,20.44329167649139,7.3,4.082903225806452,3.7386,9.488448844884466,0.0
2011-04-30,3.816785,1.0590333333333333,3.94,9.1,123.86,0.33286,-0.9940087889982684,-0.385828519822441,5.813063356295811,92.05761904761904,314.0,97.0,30.04366666666667,22.176739706236436,6.8,4.069333333333334,3.7619,9.224489795918366,0.0
2011-05-31,3.91162,1.0683483870967743,4.24,9.0,126.8,0.33214,-0.7685514236744018,-0.424405654075628,5.442994203021478,92.44857142857144,106.0,15.0,30.21483870967742,29.329758713136723,6.8,3.8367741935483872,3.5053,9.098294069861913,0.0
2011-06-30,4.217757,1.06138,5.91,9.1,127.55,0.33214,-0.7509069228000764,-0.181703738109981,6.015371498109556,94.545,228.0,56.0,30.49366666666667,40.06273167949814,7.1,3.694666666666667,3.4144,10.065466448445171,0.0
2011-07-31,4.509708,1.078532258064516,5.89,9.0,128.54,0.33214,-0.5164238523724829,-0.0743618614745867,5.15154012815906,96.915,61.0,48.0,30.09,40.13677012098895,7.5,3.682903225806452,3.3137,9.836065573770504,0.0
2011-08-31,4.685679,1.048493548387097,5.19,9.0,132.2,0.32857,-0.4103088768643625,0.727894663315721,5.425861173402269,103.0247826086957,133.0,19.0,29.879677419354838,15.02700164357831,7.3,3.4706451612903226,2.7833,9.430894308943085,0.0
